TYPE,YEAR,MONTH,DAY,HOUR,MINUTE,HUNDRED_BLOCK,NEIGHBOURHOOD,X,Y
Other Theft,2015,7,23,13,0,10XX ROBSON ST,West End,491045.5704,5458984.3631
Other Theft,2015,7,30,11,0,10XX ROBSON ST,West End,491045.5704,5458984.3631
Other Theft,2015,8,5,13,32,10XX ROBSON ST,West End,491045.5704,5458984.3631
Other Theft,2015,8,23,13,7,10XX ROBSON ST,West End,491045.5704,5458984.3631
Other Theft,2015,9,2,14,23,10XX ROBSON ST,West End,491045.5704,5458984.3631
Other Theft,2015,9,16,13,40,10XX ROBSON ST,West End,491045.5704,5458984.3631
Other Theft,2015,11,15,15,45,10XX ROBSON ST,West End,491045.5704,5458984.3631
Other Theft,2015,12,5,10,50,10XX ROBSON ST,West End,491045.5704,5458984.3631
Other Theft,2015,12,18,15,44,10XX ROBSON ST,West End,491045.5704,5458984.3631
Other Theft,2015,9,24,17,19,10XX ROBSON ST,West End,491047.3225,5458969.7762
Other Theft,2015,5,28,18,14,10XX ROBSON ST,West End,491048.2969,5458981.6688
Other Theft,2015,4,30,7,24,10XX ROBSON ST,West End,491050.049,5458967.0819
Other Theft,2015,6,9,19,11,10XX ROBSON ST,West End,491052.7754,5458964.3876
Other Theft,2015,3,6,14,58,10XX ROBSON ST,West End,491058.2284,5458958.9991
Other Theft,2015,3,12,12,0,10XX ROBSON ST,West End,491058.2284,5458958.9991
Other Theft,2015,8,11,17,0,10XX ROBSON ST,West End,491058.2284,5458958.9991
Other Theft,2015,11,7,17,21,10XX ROBSON ST,West End,491058.2284,5458958.9991
Other Theft,2015,12,26,13,0,10XX ROBSON ST,West End,491058.2284,5458958.9991
Other Theft,2015,3,1,13,25,10XX ROBSON ST,West End,491064.6557,5458965.5031
Other Theft,2015,5,12,20,55,10XX ROBSON ST,West End,491064.6557,5458965.5031
Other Theft,2015,6,3,20,20,10XX ROBSON ST,West End,491064.6557,5458965.5031
Other Theft,2015,9,7,12,20,10XX ROBSON ST,West End,491064.6557,5458965.5031
Other Theft,2015,12,31,15,30,10XX ROBSON ST,West End,491064.6557,5458965.5031
Other Theft,2015,7,27,6,34,10XX SCANTLINGS AVE,Fairview,490704.4071,5457218.6071
Other Theft,2015,4,1,12,0,10XX SE MARINE DR,Sunset,493873.1291,5450918.867
Other Theft,2015,11,3,23,42,10XX SE MARINE DR,Sunset,493873.1291,5450918.867
Other Theft,2015,11,5,14,25,10XX SE MARINE DR,Sunset,493873.1291,5450918.867
Other Theft,2015,5,14,15,0,10XX SEYMOUR ST,Central Business District,491024.4274,5458325.042
Other Theft,2015,12,8,10,30,10XX SEYMOUR ST,Central Business District,491024.4274,5458325.042
Other Theft,2015,8,20,6,11,10XX SEYMOUR ST,Central Business District,491058.7419,5458359.9308
Other Theft,2015,4,7,18,55,10XX SEYMOUR ST,Central Business District,491123.0816,5458425.3472
Other Theft,2015,1,5,13,44,10XX STATION ST,Strathcona,492788.8096,5458080.0182
Other Theft,2015,7,28,16,30,10XX STATION ST,Strathcona,492788.8096,5458080.0182
Other Theft,2015,9,20,16,55,10XX STATION ST,Strathcona,492788.8096,5458080.0182
Other Theft,2015,9,30,9,59,10XX SW MARINE DR,Marpole,490456.6943,5450204.966
Other Theft,2015,12,30,13,30,10XX SW MARINE DR,Marpole,490456.6943,5450204.966
Other Theft,2015,4,21,21,15,10XX VENABLES ST,Strathcona,494022.1362,5458237.8731
Other Theft,2015,8,25,17,55,10XX W 15TH AVE,Fairview,490714.1852,5456129.8106
Other Theft,2015,11,20,14,8,10XX W 43RD AVE,Oakridge,490656.4186,5453260.7939
Other Theft,2015,1,15,11,0,10XX W 52ND AVE,Oakridge,490583.7825,5452352.1256
Other Theft,2015,9,15,16,30,10XX W 57TH AVE,Marpole,490548.3667,5451829.5537
Other Theft,2015,2,12,14,12,10XX W BROADWAY AVE,Fairview,490629.4057,5456754.4414
Other Theft,2015,1,17,13,30,10XX W BROADWAY AVE,Fairview,490721.7869,5456752.0765
Other Theft,2015,10,5,11,0,10XX W CORDOVA ST,Central Business District,491419.7671,5459498.1213
Other Theft,2015,12,7,3,49,10XX W CORDOVA ST,Central Business District,491419.7671,5459498.1213
Other Theft,2015,1,1,0,0,10XX W CORDOVA ST,Central Business District,491528.0102,5459453.6372
Other Theft,2015,1,16,0,0,10XX W CORDOVA ST,Central Business District,491528.0102,5459453.6372
Other Theft,2015,8,26,18,0,10XX W GEORGIA ST,West End,491060.4643,5459205.0704
Other Theft,2015,1,16,10,30,10XX W GEORGIA ST,Central Business District,491088.6115,5459190.0607
Other Theft,2015,1,28,15,19,10XX W GEORGIA ST,Central Business District,491115.752,5459163.1779
