TYPE,YEAR,MONTH,DAY,HOUR,MINUTE,HUNDRED_BLOCK,NEIGHBOURHOOD,X,Y
Vehicle Collision or Pedestrian Struck (with Injury),2017,9,23,21,33,ONTARIO ST / W 8TH AVE,Mount Pleasant,492371.0,5456783.0
Vehicle Collision or Pedestrian Struck (with Injury),2017,10,30,18,31,ONTARIO ST / W BROADWAY AVE,Mount Pleasant,492368.0,5456699.0
Vehicle Collision or Pedestrian Struck (with Injury),2017,3,23,14,54,OSLER ST / W 73RD AVE,Marpole,490401.0,5450177.0
Vehicle Collision or Pedestrian Struck (with Injury),2017,11,3,23,40,PACIFIC BLVD / CAMBIE ST,Central Business District,491329.0,5457991.0
Vehicle Collision or Pedestrian Struck (with Injury),2017,5,25,10,1,PACIFIC BLVD / CARRALL ST,Central Business District,492257.0,5458266.0
Vehicle Collision or Pedestrian Struck (with Injury),2017,2,14,21,40,PACIFIC BLVD / DRAKE ST,Central Business District,490999.0,5457866.0
Vehicle Collision or Pedestrian Struck (with Injury),2017,7,21,8,50,PACIFIC BLVD / DRAKE ST,Central Business District,491009.0,5457856.0
Vehicle Collision or Pedestrian Struck (with Injury),2017,8,17,13,4,PACIFIC BLVD / DRAKE ST,Central Business District,491009.0,5457856.0
Vehicle Collision or Pedestrian Struck (with Injury),2017,12,16,2,47,PACIFIC BLVD / GRIFFITHS WAY,Central Business District,492074.0,5458234.0
Vehicle Collision or Pedestrian Struck (with Injury),2017,11,23,3,28,PACIFIC BLVD / SMITHE ST,Central Business District,491779.0,5458018.0
Vehicle Collision or Pedestrian Struck (with Injury),2017,7,22,21,34,PACIFIC ST / BURRARD ST,West End,490369.0,5458252.0
Vehicle Collision or Pedestrian Struck (with Injury),2017,8,5,19,41,PACIFIC ST / SEYMOUR ST,Central Business District,490655.0,5457962.0
Vehicle Collision or Pedestrian Struck (with Injury),2017,9,21,12,56,PACIFIC ST / SEYMOUR ST,Central Business District,490665.0,5457972.0
Vehicle Collision or Pedestrian Struck (with Injury),2017,5,3,20,26,PARKER ST / CLARK DR,Strathcona,494378.0,5458124.0
Vehicle Collision or Pedestrian Struck (with Injury),2017,4,29,1,15,PARKER ST / KAMLOOPS ST,Hastings-Sunrise,496022.0,5458117.0
Vehicle Collision or Pedestrian Struck (with Injury),2017,10,18,17,16,PARKER ST / VERNON DR,Strathcona,494280.0,5458128.0
Vehicle Collision or Pedestrian Struck (with Injury),2017,6,10,20,43,PENDRELL ST / BROUGHTON ST,West End,490164.0,5459081.0
Vehicle Collision or Pedestrian Struck (with Injury),2017,12,19,15,26,PENDRELL ST / BUTE ST,West End,490376.0,5458872.0
